{'loss': 1.401, 'learning_rate': 1.5789473684210522e-05, 'epoch': 0.01}
{'loss': 1.3154, 'learning_rate': 3.1578947368421045e-05, 'epoch': 0.01}
{'loss': 1.1525, 'learning_rate': 4.7368421052631574e-05, 'epoch': 0.02}
{'loss': 1.6534, 'learning_rate': 6.315789473684209e-05, 'epoch': 0.02}
{'loss': 1.4548, 'learning_rate': 7.894736842105262e-05, 'epoch': 0.03}
{'loss': 1.3827, 'learning_rate': 9.473684210526315e-05, 'epoch': 0.03}
{'loss': 1.371, 'learning_rate': 0.00011052631578947366, 'epoch': 0.04}
{'loss': 1.4333, 'learning_rate': 0.00012631578947368418, 'epoch': 0.04}
{'loss': 1.2453, 'learning_rate': 0.0001421052631578947, 'epoch': 0.05}
{'loss': 1.2544, 'learning_rate': 0.00015789473684210524, 'epoch': 0.05}
{'loss': 1.0599, 'learning_rate': 0.0001736842105263158, 'epoch': 0.06}
{'loss': 0.9272, 'learning_rate': 0.0001894736842105263, 'epoch': 0.06}
{'loss': 1.2503, 'learning_rate': 0.00020526315789473683, 'epoch': 0.07}
{'loss': 1.2058, 'learning_rate': 0.00022105263157894733, 'epoch': 0.07}
{'loss': 1.2194, 'learning_rate': 0.00023684210526315788, 'epoch': 0.08}
{'loss': 1.026, 'learning_rate': 0.00025263157894736836, 'epoch': 0.08}
{'loss': 1.0001, 'learning_rate': 0.0002684210526315789, 'epoch': 0.09}
{'loss': 1.0234, 'learning_rate': 0.0002842105263157894, 'epoch': 0.1}
{'loss': 0.9857, 'learning_rate': 0.0003, 'epoch': 0.1}
{'loss': 0.9757, 'learning_rate': 0.00029999978854725284, 'epoch': 0.11}
{'loss': 0.6883, 'learning_rate': 0.0002999991541896076, 'epoch': 0.11}
{'loss': 0.6289, 'learning_rate': 0.00029999809692885274, 'epoch': 0.12}
{'loss': 0.8309, 'learning_rate': 0.00029999661676796913, 'epoch': 0.12}
{'loss': 0.8877, 'learning_rate': 0.0002999947137111298, 'epoch': 0.13}
{'loss': 0.8104, 'learning_rate': 0.0002999923877637003, 'epoch': 0.13}
{'loss': 0.8697, 'learning_rate': 0.00029998963893223814, 'epoch': 0.14}
{'loss': 0.8652, 'learning_rate': 0.0002999864672244934, 'epoch': 0.14}
{'loss': 0.7519, 'learning_rate': 0.00029998287264940837, 'epoch': 0.15}
{'loss': 0.648, 'learning_rate': 0.00029997885521711735, 'epoch': 0.15}
{'loss': 1.0705, 'learning_rate': 0.0002999744149389471, 'epoch': 0.16}
{'loss': 0.7047, 'learning_rate': 0.00029996955182741625, 'epoch': 0.16}
{'loss': 0.5805, 'learning_rate': 0.0002999642658962359, 'epoch': 0.17}
{'loss': 0.3428, 'learning_rate': 0.0002999585571603089, 'epoch': 0.17}
{'loss': 0.6037, 'learning_rate': 0.0002999524256357303, 'epoch': 0.18}
{'loss': 0.6191, 'learning_rate': 0.00029994587133978724, 'epoch': 0.19}
{'loss': 0.4631, 'learning_rate': 0.00029993889429095864, 'epoch': 0.19}
{'loss': 0.635, 'learning_rate': 0.00029993149450891534, 'epoch': 0.2}
{'loss': 0.7772, 'learning_rate': 0.0002999236720145201, 'epoch': 0.2}
{'loss': 0.7821, 'learning_rate': 0.00029991542682982744, 'epoch': 0.21}
{'loss': 0.4191, 'learning_rate': 0.00029990675897808357, 'epoch': 0.21}
{'loss': 0.4198, 'learning_rate': 0.00029989766848372636, 'epoch': 0.22}
{'loss': 0.3591, 'learning_rate': 0.0002998881553723853, 'epoch': 0.22}
{'loss': 0.2739, 'learning_rate': 0.00029987821967088137, 'epoch': 0.23}
{'loss': 0.3648, 'learning_rate': 0.000299867861407227, 'epoch': 0.23}
{'loss': 0.3609, 'learning_rate': 0.0002998570806106259, 'epoch': 0.24}
{'loss': 0.3039, 'learning_rate': 0.0002998458773114732, 'epoch': 0.24}
{'loss': 0.3033, 'learning_rate': 0.00029983425154135514, 'epoch': 0.25}
{'loss': 0.4241, 'learning_rate': 0.00029982220333304906, 'epoch': 0.25}
{'loss': 0.8015, 'learning_rate': 0.00029980973272052326, 'epoch': 0.26}
{'loss': 0.7785, 'learning_rate': 0.00029979683973893704, 'epoch': 0.26}
{'loss': 0.5295, 'learning_rate': 0.0002997835244246405, 'epoch': 0.27}
{'loss': 0.6183, 'learning_rate': 0.00029976978681517445, 'epoch': 0.28}
{'loss': 0.431, 'learning_rate': 0.00029975562694927024, 'epoch': 0.28}
{'loss': 0.3873, 'learning_rate': 0.00029974104486684983, 'epoch': 0.29}
{'loss': 0.2226, 'learning_rate': 0.0002997260406090255, 'epoch': 0.29}
{'loss': 0.5205, 'learning_rate': 0.0002997106142180998, 'epoch': 0.3}
{'loss': 0.3536, 'learning_rate': 0.00029969476573756535, 'epoch': 0.3}
{'loss': 0.5816, 'learning_rate': 0.000299678495212105, 'epoch': 0.31}
{'loss': 0.2747, 'learning_rate': 0.00029966180268759137, 'epoch': 0.31}
{'loss': 0.3918, 'learning_rate': 0.0002996446882110867, 'epoch': 0.32}
{'loss': 0.4018, 'learning_rate': 0.00029962715183084326, 'epoch': 0.32}
{'loss': 0.3217, 'learning_rate': 0.00029960919359630245, 'epoch': 0.33}
{'loss': 0.3298, 'learning_rate': 0.0002995908135580952, 'epoch': 0.33}
{'loss': 0.252, 'learning_rate': 0.0002995720117680417, 'epoch': 0.34}
{'loss': 0.326, 'learning_rate': 0.00029955278827915107, 'epoch': 0.34}
{'loss': 0.5375, 'learning_rate': 0.0002995331431456215, 'epoch': 0.35}
{'loss': 0.3508, 'learning_rate': 0.0002995130764228398, 'epoch': 0.35}
{'loss': 0.3539, 'learning_rate': 0.00029949258816738155, 'epoch': 0.36}
{'loss': 0.4411, 'learning_rate': 0.0002994716784370107, 'epoch': 0.37}
{'loss': 0.3144, 'learning_rate': 0.00029945034729067965, 'epoch': 0.37}
{'loss': 0.3161, 'learning_rate': 0.00029942859478852856, 'epoch': 0.38}
{'loss': 0.4818, 'learning_rate': 0.000299406420991886, 'epoch': 0.38}
{'loss': 0.3502, 'learning_rate': 0.0002993838259632679, 'epoch': 0.39}
{'loss': 0.6827, 'learning_rate': 0.00029936080976637817, 'epoch': 0.39}
{'loss': 0.3255, 'learning_rate': 0.0002993373724661079, 'epoch': 0.4}
{'loss': 0.4438, 'learning_rate': 0.00029931351412853553, 'epoch': 0.4}
{'loss': 0.3639, 'learning_rate': 0.0002992892348209266, 'epoch': 0.41}
{'loss': 0.7128, 'learning_rate': 0.00029926453461173334, 'epoch': 0.41}
{'loss': 0.3005, 'learning_rate': 0.00029923941357059484, 'epoch': 0.42}
{'loss': 0.2451, 'learning_rate': 0.00029921387176833666, 'epoch': 0.42}
{'loss': 0.2054, 'learning_rate': 0.00029918790927697047, 'epoch': 0.43}
{'loss': 0.7407, 'learning_rate': 0.0002991615261696943, 'epoch': 0.43}
{'loss': 0.361, 'learning_rate': 0.00029913472252089175, 'epoch': 0.44}
{'loss': 0.175, 'learning_rate': 0.0002991074984061323, 'epoch': 0.44}
{'loss': 0.4452, 'learning_rate': 0.0002990798539021707, 'epoch': 0.45}
