{'loss': 1.4027, 'learning_rate': 2.9999999999999997e-05, 'epoch': 0.01}
{'loss': 1.3166, 'learning_rate': 5.9999999999999995e-05, 'epoch': 0.01}
{'loss': 1.1504, 'learning_rate': 8.999999999999999e-05, 'epoch': 0.02}
{'loss': 1.6474, 'learning_rate': 0.00011999999999999999, 'epoch': 0.02}
{'loss': 1.4485, 'learning_rate': 0.00015, 'epoch': 0.03}
{'loss': 1.3564, 'learning_rate': 0.00017999999999999998, 'epoch': 0.03}
{'loss': 1.2761, 'learning_rate': 0.00020999999999999998, 'epoch': 0.04}
{'loss': 1.2842, 'learning_rate': 0.00023999999999999998, 'epoch': 0.04}
{'loss': 1.069, 'learning_rate': 0.00027, 'epoch': 0.05}
{'loss': 1.1219, 'learning_rate': 0.0003, 'epoch': 0.05}
{'loss': 0.9297, 'learning_rate': 0.00029999915328475654, 'epoch': 0.06}
{'loss': 0.7785, 'learning_rate': 0.0002999966131485853, 'epoch': 0.06}
{'loss': 1.2754, 'learning_rate': 0.00029999237962016317, 'epoch': 0.07}
{'loss': 1.0957, 'learning_rate': 0.00029998645274728473, 'epoch': 0.07}
{'loss': 1.148, 'learning_rate': 0.00029997883259686163, 'epoch': 0.08}
{'loss': 0.8904, 'learning_rate': 0.00029996951925492186, 'epoch': 0.08}
{'loss': 0.8601, 'learning_rate': 0.0002999585128266087, 'epoch': 0.09}
{'loss': 0.9238, 'learning_rate': 0.0002999458134361797, 'epoch': 0.1}
{'loss': 0.9501, 'learning_rate': 0.000299931421227005, 'epoch': 0.1}
{'loss': 0.9005, 'learning_rate': 0.00029991533636156603, 'epoch': 0.11}
{'loss': 0.6014, 'learning_rate': 0.0002998975590214534, 'epoch': 0.11}
{'loss': 0.5742, 'learning_rate': 0.00029987808940736514, 'epoch': 0.12}
{'loss': 0.7848, 'learning_rate': 0.0002998569277391041, 'epoch': 0.12}
{'loss': 0.8502, 'learning_rate': 0.0002998340742555757, 'epoch': 0.13}
{'loss': 0.778, 'learning_rate': 0.0002998095292147852, 'epoch': 0.13}
{'loss': 0.7503, 'learning_rate': 0.0002997832928938348, 'epoch': 0.14}
{'loss': 0.796, 'learning_rate': 0.0002997553655889203, 'epoch': 0.14}
{'loss': 0.7334, 'learning_rate': 0.00029972574761532813, 'epoch': 0.15}
{'loss': 0.5604, 'learning_rate': 0.0002996944393074314, 'epoch': 0.15}
{'loss': 1.0618, 'learning_rate': 0.00029966144101868636, 'epoch': 0.16}
{'loss': 0.6958, 'learning_rate': 0.0002996267531216286, 'epoch': 0.16}
{'loss': 0.4923, 'learning_rate': 0.0002995903760078682, 'epoch': 0.17}
{'loss': 0.3066, 'learning_rate': 0.000299552310088086, 'epoch': 0.17}
{'loss': 0.5793, 'learning_rate': 0.00029951255579202854, 'epoch': 0.18}
{'loss': 0.5958, 'learning_rate': 0.0002994711135685035, 'epoch': 0.19}
{'loss': 0.4275, 'learning_rate': 0.0002994279838853743, 'epoch': 0.19}
{'loss': 0.6036, 'learning_rate': 0.00029938316722955504, 'epoch': 0.2}
{'loss': 0.7415, 'learning_rate': 0.0002993366641070051, 'epoch': 0.2}
{'loss': 0.7349, 'learning_rate': 0.00029928847504272313, 'epoch': 0.21}
{'loss': 0.3693, 'learning_rate': 0.0002992386005807413, 'epoch': 0.21}
{'loss': 0.394, 'learning_rate': 0.0002991870412841192, 'epoch': 0.22}
{'loss': 0.3179, 'learning_rate': 0.00029913379773493744, 'epoch': 0.22}
{'loss': 0.2579, 'learning_rate': 0.00029907887053429107, 'epoch': 0.23}
{'loss': 0.3449, 'learning_rate': 0.00029902226030228247, 'epoch': 0.23}
{'loss': 0.3499, 'learning_rate': 0.0002989639676780152, 'epoch': 0.24}
{'loss': 0.286, 'learning_rate': 0.00029890399331958587, 'epoch': 0.24}
{'loss': 0.2774, 'learning_rate': 0.0002988423379040772, 'epoch': 0.25}
{'loss': 0.415, 'learning_rate': 0.0002987790021275502, 'epoch': 0.25}
{'loss': 0.784, 'learning_rate': 0.00029871398670503645, 'epoch': 0.26}
{'loss': 0.752, 'learning_rate': 0.0002986472923705301, 'epoch': 0.26}
{'loss': 0.5323, 'learning_rate': 0.0002985789198769791, 'epoch': 0.27}
{'loss': 0.6046, 'learning_rate': 0.00029850886999627723, 'epoch': 0.28}
{'loss': 0.4264, 'learning_rate': 0.00029843714351925527, 'epoch': 0.28}
{'loss': 0.3743, 'learning_rate': 0.00029836374125567186, 'epoch': 0.29}
{'loss': 0.2103, 'learning_rate': 0.0002982886640342046, 'epoch': 0.29}
{'loss': 0.5111, 'learning_rate': 0.0002982119127024403, 'epoch': 0.3}
{'loss': 0.3197, 'learning_rate': 0.00029813348812686625, 'epoch': 0.3}
{'loss': 0.5501, 'learning_rate': 0.00029805339119285936, 'epoch': 0.31}
{'loss': 0.2657, 'learning_rate': 0.000297971622804677, 'epoch': 0.31}
{'loss': 0.3782, 'learning_rate': 0.0002978881838854462, 'epoch': 0.32}
{'loss': 0.3828, 'learning_rate': 0.0002978030753771539, 'epoch': 0.32}
{'loss': 0.3249, 'learning_rate': 0.00029771629824063565, 'epoch': 0.33}
{'loss': 0.3302, 'learning_rate': 0.0002976278534555651, 'epoch': 0.33}
{'loss': 0.2538, 'learning_rate': 0.0002975377420204428, 'epoch': 0.34}
{'loss': 0.3185, 'learning_rate': 0.00029744596495258525, 'epoch': 0.34}
{'loss': 0.5438, 'learning_rate': 0.0002973525232881129, 'epoch': 0.35}
{'loss': 0.3511, 'learning_rate': 0.00029725741808193885, 'epoch': 0.35}
{'loss': 0.3434, 'learning_rate': 0.0002971606504077569, 'epoch': 0.36}
{'loss': 0.441, 'learning_rate': 0.00029706222135802914, 'epoch': 0.37}
{'loss': 0.3078, 'learning_rate': 0.00029696213204397396, 'epoch': 0.37}
{'loss': 0.313, 'learning_rate': 0.0002968603835955533, 'epoch': 0.38}
{'loss': 0.4931, 'learning_rate': 0.00029675697716146005, 'epoch': 0.38}
{'loss': 0.3666, 'learning_rate': 0.00029665191390910496, 'epoch': 0.39}
{'loss': 0.677, 'learning_rate': 0.00029654519502460335, 'epoch': 0.39}
{'loss': 0.3126, 'learning_rate': 0.00029643682171276203, 'epoch': 0.4}
{'loss': 0.4403, 'learning_rate': 0.0002963267951970655, 'epoch': 0.4}
{'loss': 0.3463, 'learning_rate': 0.00029621511671966205, 'epoch': 0.41}
{'loss': 0.6998, 'learning_rate': 0.00029610178754135, 'epoch': 0.41}
{'loss': 0.3011, 'learning_rate': 0.00029598680894156324, 'epoch': 0.42}
{'loss': 0.2456, 'learning_rate': 0.0002958701822183569, 'epoch': 0.42}
{'loss': 0.2019, 'learning_rate': 0.00029575190868839257, 'epoch': 0.43}
