{'loss': 2.0623, 'learning_rate': 0.0001, 'epoch': 0.02}
{'loss': 1.6141, 'learning_rate': 0.0002, 'epoch': 0.04}
{'loss': 2.0719, 'learning_rate': 0.00019997919281892067, 'epoch': 0.06}
{'loss': 1.6222, 'learning_rate': 0.0001999167799344583, 'epoch': 0.08}
{'loss': 1.6898, 'learning_rate': 0.0001998127873193367, 'epoch': 0.09}
{'loss': 1.3891, 'learning_rate': 0.00019966725824941932, 'epoch': 0.11}
{'loss': 1.1519, 'learning_rate': 0.00019948025328570042, 'epoch': 0.13}
{'loss': 1.0756, 'learning_rate': 0.00019925185024910277, 'epoch': 0.15}
{'loss': 1.0267, 'learning_rate': 0.0001989821441880933, 'epoch': 0.17}
{'loss': 1.1337, 'learning_rate': 0.0001986712473391289, 'epoch': 0.19}
{'loss': 0.7314, 'learning_rate': 0.0001983192890799503, 'epoch': 0.21}
{'loss': 0.5738, 'learning_rate': 0.00019792641587574212, 'epoch': 0.23}
{'loss': 0.5868, 'learning_rate': 0.00019749279121818235, 'epoch': 0.25}
{'loss': 0.7289, 'learning_rate': 0.00019701859555740648, 'epoch': 0.27}
{'loss': 0.5755, 'learning_rate': 0.000196504026226914, 'epoch': 0.28}
{'loss': 0.6497, 'learning_rate': 0.00019594929736144976, 'epoch': 0.3}
{'loss': 0.4255, 'learning_rate': 0.00019535463980789277, 'epoch': 0.32}
{'loss': 0.4776, 'learning_rate': 0.000194720301029191, 'epoch': 0.34}
{'loss': 0.3229, 'learning_rate': 0.00019404654500138117, 'epoch': 0.36}
{'loss': 0.3797, 'learning_rate': 0.0001933336521037367, 'epoch': 0.38}
{'loss': 0.3586, 'learning_rate': 0.0001925819190020898, 'epoch': 0.4}
{'loss': 0.1505, 'learning_rate': 0.00019179165852537596, 'epoch': 0.42}
{'loss': 0.1569, 'learning_rate': 0.00019096319953545185, 'epoch': 0.44}
{'loss': 0.2134, 'learning_rate': 0.0001900968867902419, 'epoch': 0.45}
{'loss': 0.1758, 'learning_rate': 0.0001891930808002694, 'epoch': 0.47}
{'loss': 0.2597, 'learning_rate': 0.00018825215767863214, 'epoch': 0.49}
{'loss': 0.2918, 'learning_rate': 0.00018727450898448563, 'epoch': 0.51}
{'loss': 0.1729, 'learning_rate': 0.00018626054156009806, 'epoch': 0.53}
{'loss': 0.2499, 'learning_rate': 0.00018521067736154568, 'epoch': 0.55}
{'loss': 0.1186, 'learning_rate': 0.00018412535328311814, 'epoch': 0.57}
{'loss': 0.0446, 'learning_rate': 0.00018300502097550806, 'epoch': 0.59}
{'loss': 0.0911, 'learning_rate': 0.00018185014665785936, 'epoch': 0.61}
{'loss': 0.2626, 'learning_rate': 0.000180661210923753, 'epoch': 0.63}
{'loss': 0.084, 'learning_rate': 0.00017943870854121124, 'epoch': 0.64}
{'loss': 0.0229, 'learning_rate': 0.000178183148246803, 'epoch': 0.66}
{'loss': 0.0268, 'learning_rate': 0.0001768950525339362, 'epoch': 0.68}
{'loss': 0.0276, 'learning_rate': 0.00017557495743542585, 'epoch': 0.7}
{'loss': 0.0244, 'learning_rate': 0.000174223412300427, 'epoch': 0.72}
{'loss': 0.049, 'learning_rate': 0.00017284097956582692, 'epoch': 0.74}
{'loss': 0.2682, 'learning_rate': 0.00017142823452219038, 'epoch': 0.76}
{'loss': 0.0612, 'learning_rate': 0.00016998576507435618, 'epoch': 0.78}
{'loss': 0.0685, 'learning_rate': 0.00016851417149678444, 'epoch': 0.8}
{'loss': 0.029, 'learning_rate': 0.00016701406618375596, 'epoch': 0.82}
{'loss': 0.0994, 'learning_rate': 0.00016548607339452853, 'epoch': 0.83}
{'loss': 0.0056, 'learning_rate': 0.00016393082899355516, 'epoch': 0.85}
{'loss': 0.0483, 'learning_rate': 0.00016234898018587337, 'epoch': 0.87}
{'loss': 0.0985, 'learning_rate': 0.00016074118524777477, 'epoch': 0.89}
{'loss': 0.1746, 'learning_rate': 0.00015910811325286768, 'epoch': 0.91}
{'loss': 0.0125, 'learning_rate': 0.00015745044379364634, 'epoch': 0.93}
{'loss': 0.0901, 'learning_rate': 0.00015576886669868296, 'epoch': 0.95}
{'loss': 0.008, 'learning_rate': 0.00015406408174555976, 'epoch': 0.97}
{'loss': 0.0147, 'learning_rate': 0.00015233679836966122, 'epoch': 0.99}
{'loss': 0.0164, 'learning_rate': 0.00015058773536894685, 'epoch': 1.0}
{'loss': 0.0842, 'learning_rate': 0.00014881762060482814, 'epoch': 1.02}
{'loss': 0.0497, 'learning_rate': 0.0001470271906992737, 'epoch': 1.04}
{'loss': 0.0078, 'learning_rate': 0.00014521719072826858, 'epoch': 1.06}
{'loss': 0.0148, 'learning_rate': 0.00014338837391175582, 'epoch': 1.08}
{'loss': 0.0219, 'learning_rate': 0.00014154150130018866, 'epoch': 1.1}
{'loss': 0.0206, 'learning_rate': 0.00013967734145782425, 'epoch': 1.12}
{'loss': 0.0106, 'learning_rate': 0.00013779667014289065, 'epoch': 1.14}
{'loss': 0.0436, 'learning_rate': 0.00013590026998475986, 'epoch': 1.16}
{'loss': 0.0168, 'learning_rate': 0.00013398893015826167, 'epoch': 1.18}
{'loss': 0.0047, 'learning_rate': 0.00013206344605527355, 'epoch': 1.19}
{'loss': 0.0087, 'learning_rate': 0.00013012461895372344, 'epoch': 1.21}
{'loss': 0.0022, 'learning_rate': 0.00012817325568414297, 'epoch': 1.23}
{'loss': 0.0452, 'learning_rate': 0.00012621016829391022, 'epoch': 1.25}
{'loss': 0.0127, 'learning_rate': 0.00012423617370932127, 'epoch': 1.27}
{'loss': 0.0197, 'learning_rate': 0.00012225209339563145, 'epoch': 1.29}
{'loss': 0.0193, 'learning_rate': 0.0001202587530152081, 'epoch': 1.31}
{'loss': 0.0039, 'learning_rate': 0.00011825698208393619, 'epoch': 1.33}
{'loss': 0.0078, 'learning_rate': 0.00011624761362602061, 'epoch': 1.35}
{'loss': 0.0472, 'learning_rate': 0.00011423148382732853, 'epoch': 1.36}
{'loss': 0.0143, 'learning_rate': 0.000112209431687416, 'epoch': 1.38}
{'loss': 0.0015, 'learning_rate': 0.00011018229867038356, 'epoch': 1.4}
{'loss': 0.0028, 'learning_rate': 0.00010815092835470633, 'epoch': 1.42}
{'loss': 0.005, 'learning_rate': 0.00010611616608218429, 'epoch': 1.44}
{'loss': 0.0733, 'learning_rate': 0.00010407885860615859, 'epoch': 1.46}
{'loss': 0.0877, 'learning_rate': 0.00010203985373914056, 'epoch': 1.48}
{'loss': 0.0097, 'learning_rate': 0.0001, 'epoch': 1.5}
{'loss': 0.0123, 'learning_rate': 9.79601462608595e-05, 'epoch': 1.52}
{'loss': 0.0032, 'learning_rate': 9.592114139384145e-05, 'epoch': 1.54}
